time,d0_distance1,d0_height1,d0_vx1,d0_vy1,d0_vz1,d0_yawR1,d0_distance2,d0_height2,d0_vx2,d0_vy2,d0_vz2,d0_yawR2,d0_inD12,d0_inD21,d1_distance0,d1_height0,d1_vx0,d1_vy0,d1_vz0,d1_yawR0,d1_distance2,d1_height2,d1_vx2,d1_vy2,d1_vz2,d1_yawR2,d1_kalman_statePX,d1_kalman_statePY,d1_kalman_statePZ,d1_rateYaw,d1_inD02,d1_inD20,d2_distance0,d2_height0,d2_vx0,d2_vy0,d2_vz0,d2_yawR0,d2_distance1,d2_height1,d2_vx1,d2_vy1,d2_vz1,d2_yawR1,d2_kalman_statePX,d2_kalman_statePY,d2_kalman_statePZ,d2_rateYaw,d2_inD01,d2_inD10,mc0_cf_x,mc0_cf_y,mc0_cf_z,mc0_roll,mc0_pitch,mc0_yaw,mc1_cf_x,mc1_cf_y,mc1_cf_z,mc1_roll,mc1_pitch,mc1_yaw,mc2_cf_x,mc2_cf_y,mc2_cf_z,mc2_roll,mc2_pitch,mc2_yaw,mc_dist_01,mc_dist_02,mc_dist_12,mc_rel_01_x,mc_rel_01_y,mc_rel_01_z,mc_rel_02_x,mc_rel_02_y,mc_rel_02_z,mc_rel_12_x,mc_rel_12_y,mc_rel_12_z,mc_rel_01_yaw,mc_rel_02_yaw,mc_rel_12_yaw
2.88,1.056,0.020016277208924294,0.1244775578379631,-0.1382848173379898,0.010522563010454178,-3.7967512607574463,1.189,0.02001168765127659,-0.0002529954945202917,0.00021895751706324518,0.0006491243257187307,0.08212143927812576,2.579,2.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006395,0.171419,0.122752,1.0761146463550197,-0.3967444632399859,-100.85531926829508,1.275288,0.05575,0.127823,-0.09091517057172814,-1.3202266490587142,-76.95111803255428,-1.450317,0.10849,0.123486,-0.30719362124904975,1.0729615840551996,-85.22407502908449,1.286901839726325,1.4452928215005427,2.726118657211017,1.281683,-0.115669,0.005070999999999992,-1.4439220000000001,-0.06292899999999998,0.0007339999999999985,-2.725605,0.05274,-0.004336999999999994,23.9042012357408,15.631244239210588,-8.272956996530212
2.9,1.06,0.019998842850327492,0.12489360570907593,-0.13817960023880005,0.009814240969717503,-0.05173655226826668,1.209,0.020013144239783287,-0.00030415732180699706,-7.674226799281314e-05,0.0005907887243665755,-0.021777698770165443,2.577,2.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006113,0.17157,0.122972,1.1374010379755999,-0.46148773528666337,-100.94872685742583,1.275273,0.055756,0.127819,-0.09897041310192677,-1.3131762166141383,-76.97894611868513,-1.450193,0.108614,0.123504,-0.30258574961940043,1.0526794093087235,-85.27973522492222,1.2866182250384146,1.4454517589182974,2.7259819340092846,1.2813860000000001,-0.115814,0.00484699999999999,-1.44408,-0.062956,0.0005320000000000047,-2.725466,0.052858,-0.0043149999999999855,23.969780738740695,15.668991632503605,-8.30078910623709
2.92,1.063,0.01999911293387413,0.12564143538475037,-0.1383352130651474,0.010641507804393768,0.16221827268600464,1.201,0.020008616149425507,-0.000514296640176326,0.0003093619307037443,0.0002467039448674768,-0.027835534885525703,2.556,2.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00595,0.171656,0.123277,1.159092048404279,-0.454716445379166,-100.98958767303999,1.275245,0.055753,0.127781,-0.09293427769883666,-1.3307476383207442,-76.98302483987858,-1.450285,0.108529,0.123503,-0.3061937419159599,1.0953464899497731,-85.20601047696624,1.2864347707715302,1.4457138933516551,2.726044274834875,1.2811949999999999,-0.115903,0.004504000000000008,-1.4443350000000001,-0.063127,0.00022600000000000398,-2.72553,0.052776,-0.004278000000000004,24.00656283316141,15.78357719607375,-8.22298563708766
2.94,1.064,0.0199950709939003,0.12653610110282898,-0.13852021098136902,0.010094568133354187,5.0133514404296875,1.201,0.020008616149425507,-0.000514296640176326,0.0003093619307037443,0.0002467039448674768,-0.027835534885525703,2.585,2.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006072,0.171572,0.123008,1.1442659306387992,-0.4509657703416551,-100.97746069098653,1.275229,0.055776,0.127882,-0.0940943910350791,-1.3048475335566843,-76.99023064996211,-1.450601,0.108336,0.123318,-0.18272131194502386,1.027372336060156,-85.21780069831767,1.2865320524934465,1.4459124868528523,2.726340509290063,1.281301,-0.11579600000000001,0.0048739999999999895,-1.444529,-0.063236,0.00030999999999999084,-2.72583,0.05256,-0.004563999999999999,23.987230041024418,15.759659992668858,-8.22757004835556
2.96,1.074,0.01999068073928356,0.12720151245594025,-0.13887719810009003,0.011294218711555004,1.6001741886138916,1.259,0.019994383677840233,-0.00036441770498640835,0.00016094319289550185,-0.00035121748805977404,-0.11504518240690231,2.581,2.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006091,0.171583,0.123006,1.1442021484750204,-0.4498173807622913,-100.95361380251757,1.275276,0.055766,0.127952,-0.06162787768344355,-1.2778557122898657,-76.92545258432794,-1.450253,0.108619,0.123459,-0.29335901221741845,1.0659449881704515,-85.27556257463542,1.286599949127156,1.445534002626365,2.7260451127043,1.2813670000000001,-0.115817,0.004946000000000006,-1.444162,-0.06296400000000002,0.0004529999999999951,-2.725529,0.05285299999999999,-0.004493000000000011,24.028161218189624,15.67805122788215,-8.350109990307473
2.98,1.05,0.020004477351903915,0.12721151113510132,-0.13906718790531158,0.011605422012507915,-1.7435698509216309,1.191,0.019992494955658913,-4.588652518577874e-05,0.00033730847644619644,-0.0003974081773776561,0.04520232230424881,2.586,2.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006386,0.17139,0.122755,1.0867393483972683,-0.40494768803359105,-100.88330387023456,1.275243,0.055744,0.127706,-0.10031823767341719,-1.3406875807513194,-77.00015751486234,-1.450235,0.108612,0.123456,-0.28496354195622,1.0487246402240653,-85.29093799059598,1.2868455242794297,1.4452133072615958,2.725994023545906,1.281629,-0.11564599999999998,0.004950999999999983,-1.443849,-0.06277799999999999,0.0007009999999999933,-2.725478,0.052868,-0.00424999999999999,23.88314635537222,15.592365879638578,-8.29078047573364
3.0,1.085,0.020012229681015015,0.12648656964302063,-0.13912421464920044,0.0112991314381361,14.12632942199707,1.188,0.020000115036964417,0.002689432119950652,-0.0017922091064974666,0.00017777092580217868,10.298020362854004,2.603,2.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006132,0.171564,0.122997,1.1533053415448087,-0.46672121375374676,-100.96083336786702,1.275233,0.055818,0.127836,-0.07752711721036179,-1.2788013939041531,-76.95678998382041,-1.450629,0.108363,0.123317,-0.17497407383977392,1.0496339132799795,-85.18254695929971,1.2865911610383465,1.4458789893383193,2.7263721392044045,1.281365,-0.11574599999999999,0.00483900000000001,-1.444497,-0.063201,0.00032000000000000084,-2.7258620000000002,0.052545,-0.004519000000000009,24.00404338404661,15.778286408567311,-8.2257569754793
3.02,1.091,0.02002975344657898,0.12424052506685257,-0.13984718918800354,0.011597296223044395,-11.696441650390625,1.214,0.02000165358185768,0.00775536336004734,-0.004543166607618332,0.0008564303279854357,-18.637882232666016,2.577,2.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006108,0.17157,0.122997,1.138069041865404,-0.4510048261882912,-100.95215867787692,1.275273,0.055851,0.12791,-0.0670870946243937,-1.2514990039763256,-76.9172125744721,-1.450204,0.108609,0.123511,-0.2994320339552019,1.0532575519103913,-85.29874149163722,1.2866049477951653,1.4454679550003868,2.725991128982998,1.281381,-0.115719,0.004913000000000001,-1.444096,-0.062961,0.0005140000000000006,-2.725477,0.052758,-0.004399,24.03494610340482,15.653417186239707,-8.381528917165113
3.04,1.091,0.02002975344657898,0.12424052506685257,-0.13984718918800354,0.011597296223044395,-11.696441650390625,1.214,0.02000165358185768,0.00775536336004734,-0.004543166607618332,0.0008564303279854357,-18.637882232666016,2.577,2.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006076,0.171566,0.123003,1.13861788040788,-0.45459966396561086,-100.97988215922855,1.275286,0.055793,0.127816,-0.09180493822850158,-1.3036293780680208,-76.9412721254862,-1.450289,0.108497,0.123462,-0.3055844698698543,1.0918360082467955,-85.22030200383081,1.286590504994499,1.44558953330847,2.7260879937296596,1.281362,-0.11577299999999999,0.004813000000000012,-1.444213,-0.063069,0.0004590000000000011,-2.725575,0.052703999999999994,-0.004354000000000011,24.03861003374236,15.759580155397742,-8.279029878344616
3.06,1.071,0.020006278529763222,0.12236311286687851,-0.13952618837356567,0.00984164234250784,1.8811770677566528,1.223,0.01997905969619751,0.01747138611972332,-0.00955832190811634,-0.0003682262322399765,3.3828468322753906,2.595,2.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006114,0.17158,0.123002,1.1437197377449806,-0.45811952078422524,-100.9580234444404,1.275288,0.05567,0.127668,-0.11474271262143587,-1.3834278688135397,-77.003983015403,-1.450276,0.108496,0.123515,-0.31641010267740455,1.0870458439386066,-85.237649308423,1.2866421356616609,1.445539254558312,2.7260790435680695,1.281402,-0.11591000000000001,0.0046660000000000035,-1.444162,-0.06308400000000002,0.0005129999999999996,-2.725564,0.052826,-0.004153000000000004,23.954040429037406,15.720374136017398,-8.233666293020008
