case,drag,cop,fdp,csv,pos_x,pos_y,pos_z,pos_total,vel_x,vel_y,vel_z,vel_total,att_roll,att_pitch,att_yaw
no-drag | no-cop | fdp,False,False,True,flight_sine_mtf,2.1975678831037544,1.816645093556245,0.13298549592431902,2.854328141422659,0.3296837042158362,0.5875994650768195,0.09236562255188648,0.680070499590621,2.1168761599127044,5.418448395984511,11.236491533886682
no-drag | no-cop | fdp,False,False,True,flight_y_mtf,1.0915196286878406,3.3810133012093826,0.13232681441158842,3.5553025790469546,0.18396094535944477,3.0277535881771183,0.8753689744773054,3.1571196147144005,7.604178422981813,2.3551511488300783,5.478108532569798
no-drag | no-cop | fdp,False,False,True,flight_z_mtf,0.27081543931425944,1.602742682109219,0.13656488105774423,1.631188239892608,0.09558758320397487,0.21215225161398704,0.05458694474526718,0.23900899243393364,0.6748661926400337,1.8669100591930237,1.7588655784080027
no-drag | no-cop | fdp,False,False,True,square_60cm_mtf,0.2638311468810187,1.6696530879043805,0.13587800850526094,1.6958216714054997,0.31231032840569695,0.9931132714560462,0.12651823873977275,1.0487223540598432,4.645053536466015,5.0893806093917044,12.95599568774757
no-drag | no-cop | fdp,False,False,True,square_120cm_mtf,0.6541317250664385,1.6501119431288997,0.1264637431369624,1.779536686029046,0.5914408479187027,1.7451319194525625,0.2703846620621689,1.8623628965261985,4.792880312121305,5.50815300736665,8.94962102059831
no-drag | no-cop | no-fdp,False,False,False,flight_diag_lr_mtf,8.639887148394576,9.580410419690086,0.12672108314002897,12.901471698206075,1.0588099700521643,2.7253592237483133,0.983215940018294,3.084700153314408,6.918637441527967,10.701895229816389,20.325382950555476
no-drag | no-cop | no-fdp,False,False,False,flight_sine_mtf,2.2040179666142663,1.7312726075741536,0.133050775598596,2.8058336635984826,0.3333691154786074,0.5875454030697501,0.09076798654176431,0.681603546942231,2.123569050413758,5.419562703298272,11.074352511678988
no-drag | no-cop | no-fdp,False,False,False,flight_y_mtf,1.1080159812951302,3.351843913304281,0.13236065901491884,3.532715156648669,0.1833314971221354,3.02446937806329,0.8720157631694082,3.153004431949869,7.59801220072067,2.3505047266855743,5.528962246768781
no-drag | no-cop | no-fdp,False,False,False,flight_z_mtf,0.2694222206676875,1.544344621066973,0.13662936993787295,1.5736124765448514,0.09422682623118843,0.20074475642236853,0.054056773728352235,0.22825268190888126,0.6498274142660403,1.8638329351799112,1.759369481749452
no-drag | no-cop | no-fdp,False,False,False,square_60cm_mtf,0.26817888827564085,1.6722238401704241,0.13595184973760968,1.699039550215991,0.31219935843779234,0.9890752651115194,0.1242838554748423,1.0445979112539348,4.636888330406661,5.084717245817248,12.887326008812504
no-drag | no-cop | no-fdp,False,False,False,square_120cm_mtf,0.629209525376731,1.6620024766581531,0.1264904724126937,1.7816163163975098,0.5887557722564898,1.7416634690714314,0.2676162089646792,1.8578599070338688,4.791369283941958,5.504043344001182,9.013547068614127
