Frame,Time (Seconds),qX,qY,qZ,qW,pX,pY,pZ
174,0.483333,-0.005265,0.151142,-0.002986,-0.988494,-1.322049,0.051634,-0.084252
175,0.486111,-0.006464,0.151993,-0.000608,-0.988360,-1.322353,0.051952,-0.084403
176,0.488889,-0.005346,0.150284,-0.002504,-0.988625,-1.322171,0.051779,-0.084106
177,0.491667,-0.005637,0.150406,-0.002825,-0.988604,-1.322166,0.051836,-0.084109
178,0.494444,-0.005187,0.151127,-0.002958,-0.988496,-1.322060,0.051616,-0.084256
179,0.497222,-0.004787,0.150212,-0.002227,-0.988640,-1.322181,0.051654,-0.084091
180,0.500000,-0.005219,0.150070,-0.002373,-0.988659,-1.322172,0.051792,-0.084126
181,0.502778,-0.005246,0.151581,-0.002821,-0.988427,-1.322117,0.051651,-0.084300
182,0.505556,-0.005012,0.150045,-0.002570,-0.988663,-1.322162,0.051791,-0.084096
183,0.508333,-0.004911,0.150783,-0.003083,-0.988550,-1.322038,0.051452,-0.084199
184,0.511111,-0.004452,0.150291,-0.001889,-0.988630,-1.322081,0.051679,-0.084138
185,0.513889,-0.005636,0.150571,-0.002537,-0.988580,-1.322243,0.051925,-0.084154
186,0.516667,-0.005235,0.150877,-0.003038,-0.988534,-1.322044,0.051609,-0.084225
187,0.519444,-0.005285,0.150453,-0.002494,-0.988600,-1.322186,0.051816,-0.084122
188,0.522222,-0.005050,0.151011,-0.003080,-0.988514,-1.322083,0.051634,-0.084259
189,0.525000,-0.005684,0.150608,-0.002934,-0.988573,-1.322143,0.051884,-0.084101
190,0.527778,-0.004970,0.150700,-0.003144,-0.988562,-1.322069,0.051415,-0.084210
191,0.530556,-0.004927,0.150919,-0.003258,-0.988528,-1.322016,0.051433,-0.084204
192,0.533333,-0.007069,0.152007,-0.000789,-0.988354,-1.322370,0.052069,-0.084414
193,0.536111,-0.004673,0.150437,-0.001809,-0.988607,-1.322114,0.051702,-0.084158
194,0.538889,-0.006481,0.150633,-0.001939,-0.988567,-1.322300,0.052157,-0.084268
195,0.541667,-0.004666,0.151415,-0.002344,-0.988457,-1.322092,0.051433,-0.084319
196,0.544444,-0.005520,0.150020,-0.002775,-0.988664,-1.322221,0.051845,-0.084012
197,0.547222,-0.004857,0.150311,-0.002335,-0.988624,-1.322189,0.051674,-0.084130
198,0.550000,-0.004327,0.150165,-0.001757,-0.988650,-1.322128,0.051636,-0.084116
199,0.552778,-0.006190,0.151315,-0.001926,-0.988464,-1.322324,0.051787,-0.084243
200,0.555556,-0.006050,0.152072,-0.002120,-0.988349,-1.322205,0.051548,-0.084377
201,0.558333,-0.005720,0.150816,-0.002819,-0.988541,-1.322231,0.051869,-0.084180
202,0.561111,-0.005261,0.150949,-0.003005,-0.988523,-1.322100,0.051568,-0.084243
203,0.563889,-0.005796,0.150873,-0.001611,-0.988535,-1.322205,0.051948,-0.084271
204,0.566667,-0.004877,0.150343,-0.002247,-0.988619,-1.322182,0.051709,-0.084111
205,0.569444,-0.004545,0.150797,-0.003071,-0.988550,-1.322164,0.051227,-0.084214
206,0.572222,-0.005492,0.150100,-0.002735,-0.988652,-1.322188,0.051889,-0.084083
207,0.575000,-0.004610,0.151212,-0.002489,-0.988488,-1.322017,0.051317,-0.084276
208,0.577778,-0.005086,0.151107,-0.003148,-0.988499,-1.322033,0.051540,-0.084243
209,0.580556,-0.005606,0.151561,-0.002173,-0.988430,-1.322225,0.051358,-0.084284
210,0.583333,-0.005497,0.150962,-0.003422,-0.988518,-1.322120,0.051597,-0.084205
211,0.586111,-0.006810,0.151823,-0.000549,-0.988384,-1.322346,0.052087,-0.084394
212,0.588889,-0.006249,0.150762,-0.001626,-0.988549,-1.322253,0.052139,-0.084273
213,0.591667,-0.005158,0.150202,-0.002283,-0.988639,-1.322175,0.051832,-0.084121
214,0.594444,-0.005099,0.150889,-0.003001,-0.988533,-1.322059,0.051591,-0.084234
215,0.597222,-0.004959,0.150342,-0.002283,-0.988619,-1.322158,0.051586,-0.084095
216,0.600000,-0.004702,0.150583,-0.002938,-0.988582,-1.322093,0.051509,-0.084157
217,0.602778,-0.004943,0.150542,-0.002583,-0.988588,-1.322176,0.051678,-0.084100
218,0.605556,-0.007040,0.151737,-0.000998,-0.988395,-1.322431,0.052097,-0.084363
219,0.608333,-0.004666,0.151535,-0.002240,-0.988438,-1.322102,0.051465,-0.084342
220,0.611111,-0.006141,0.150758,-0.001654,-0.988550,-1.322214,0.052165,-0.084229
221,0.613889,-0.005036,0.150911,-0.003004,-0.988530,-1.322074,0.051682,-0.084259
222,0.616667,-0.005277,0.151578,-0.002770,-0.988427,-1.322112,0.051659,-0.084292
223,0.619444,-0.005429,0.150161,-0.002746,-0.988643,-1.322199,0.051920,-0.084137
224,0.622222,-0.005298,0.150038,-0.002887,-0.988662,-1.322242,0.051825,-0.084073
225,0.625000,-0.005523,0.150108,-0.002822,-0.988650,-1.322194,0.051875,-0.084076
226,0.627778,-0.006181,0.150461,-0.001731,-0.988595,-1.322236,0.052107,-0.084249
227,0.630556,-0.005016,0.150085,-0.002412,-0.988657,-1.322142,0.051649,-0.084097
228,0.633333,-0.005122,0.151027,-0.002990,-0.988512,-1.322088,0.051592,-0.084221
229,0.636111,-0.004557,0.151319,-0.002476,-0.988471,-1.322043,0.051387,-0.084266
230,0.638889,-0.007314,0.151851,-0.001105,-0.988376,-1.322420,0.052086,-0.084399
231,0.641667,-0.005276,0.150219,-0.002561,-0.988635,-1.322183,0.051867,-0.084110
232,0.644444,-0.005717,0.150268,-0.002950,-0.988624,-1.322180,0.051820,-0.084104
233,0.647222,-0.004946,0.150814,-0.003302,-0.988544,-1.322045,0.051476,-0.084161
234,0.650000,-0.005349,0.150174,-0.002890,-0.988641,-1.322210,0.051824,-0.084064
235,0.652778,-0.005097,0.150927,-0.002704,-0.988528,-1.322104,0.051574,-0.084218
236,0.655556,-0.005224,0.150605,-0.003333,-0.988575,-1.322089,0.051509,-0.084143
237,0.658333,-0.004528,0.148642,-0.003331,-0.988875,-1.322319,0.051617,-0.084045
238,0.661111,-0.006139,0.150578,-0.001559,-0.988578,-1.322262,0.052199,-0.084263
239,0.663889,-0.005495,0.150225,-0.002861,-0.988632,-1.322206,0.051857,-0.084085
240,0.666667,-0.005007,0.150818,-0.003032,-0.988544,-1.322083,0.051607,-0.084224
241,0.669444,-0.004486,0.151017,-0.002453,-0.988518,-1.322055,0.051311,-0.084235
242,0.672222,-0.005425,0.149977,-0.002941,-0.988670,-1.322218,0.051892,-0.084057
243,0.675000,-0.005341,0.150960,-0.003607,-0.988519,-1.322118,0.051651,-0.084226
244,0.677778,-0.005436,0.150132,-0.002797,-0.988647,-1.322201,0.051857,-0.084068
