timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,gyro.x,gyro.y,gyro.z,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,rlapp.pwmM1,rlapp.pwmM2,rlapp.pwmM3,rlapp.pwmM4,rlapp.tgtGate
225644.189,1.9667701721191406,1.9831438064575195,1.4383033514022827,-0.05608672648668289,0.24626542627811432,-0.023882195353507996,-0.1599106341600418,7.843173980712891,-82.40522003173828,-43.600833892822266,31.35982322692871,169.11888122558594,1905.0,-2621.0,1140.0,0,0,0,0,0
225654.098,1.9656994342803955,1.9865434169769287,1.438249111175537,-0.05839717015624046,0.2625349164009094,0.04850052669644356,-0.8369771838188171,7.486600875854492,-81.16748809814453,-45.32146453857422,22.01624870300293,-161.16651916503906,2061.0,-2199.0,-586.0,0,0,0,0,0
225664.028,1.964833378791809,1.9896681308746338,1.438494324684143,-0.058630477637052536,0.26384761929512024,0.01861240714788437,-1.3001738786697388,7.067591667175293,-81.97561645507812,-82.27521514892578,42.014373779296875,-29.95905113220215,2337.0,-1490.0,-1211.0,0,0,0,0,0
225673.912,1.9636914730072021,1.9932825565338135,1.4387582540512085,-0.057530421763658524,0.2759622037410736,0.07527744770050049,-1.8409292697906494,6.7422661781311035,-82.74140930175781,81.88379669189453,77.12548828125,155.3199920654297,2554.0,-1119.0,-2590.0,0,0,0,0,0
225683.832,1.9627130031585693,1.996948003768921,1.438856840133667,-0.05508580058813095,0.27137404680252075,-0.01827242597937584,-1.0636978149414062,6.061075210571289,-81.62657928466797,153.63861083984375,91.46937561035156,29.718334197998047,-1492.0,-482.0,-3691.0,0,0,0,0,0
225693.731,1.9619582891464233,2.0006442070007324,1.4383736848831177,-0.05262254551053047,0.2750374972820282,-0.020906472578644753,0.20535917580127716,5.452279090881348,-80.47026824951172,170.3507080078125,38.97429656982422,65.84241485595703,-6605.0,744.0,-2812.0,0,0,0,0,0
225703.662,1.9613642692565918,2.003908157348633,1.438148856163025,-0.05279310792684555,0.27746081352233887,0.002141977194696665,1.4301137924194336,5.185630798339844,-80.63050079345703,-121.07042694091797,22.465688705444336,-15.004337310791016,-8531.0,57.0,-836.0,0,0,0,0,0
225713.549,1.9606361389160156,2.0079784393310547,1.437751054763794,-0.0557420551776886,0.276493102312088,-0.028019992634654045,0.056698691099882126,4.907951831817627,-79.63876342773438,-53.7109260559082,9.05393123626709,61.388648986816406,-2144.0,-1479.0,754.0,0,0,0,0,0
225723.457,1.959950566291809,2.0112338066101074,1.4375216960906982,-0.05628999322652817,0.278347909450531,0.005053350236266851,-0.16055215895175934,4.660441875457764,-80.12682342529297,-93.2550277709961,37.17853546142578,187.03756713867188,1588.0,-2180.0,2858.0,0,0,0,0,0
225733.367,1.9590067863464355,2.014873504638672,1.437549114227295,-0.05702703073620796,0.28160884976387024,0.04730246588587761,-1.0112934112548828,4.208189964294434,-79.52503204345703,-5.9686455726623535,30.0372257232666,-244.08302307128906,2608.0,-1857.0,3991.0,0,0,0,0,0
225743.285,1.9579720497131348,2.0185275077819824,1.4378747940063477,-0.05645924061536789,0.28046971559524536,0.03822733461856842,-1.213489294052124,3.85699725151062,-80.67660522460938,-95.21018981933594,59.86931610107422,-78.10880279541016,2154.0,-1071.0,4328.0,0,0,0,0,0
225753.185,1.9569854736328125,2.022094249725342,1.4382753372192383,-0.054485149681568146,0.28208065032958984,0.08182559907436371,-1.9417539834976196,3.3815646171569824,-81.06643676757812,113.16273498535156,83.33104705810547,44.23354721069336,2402.0,-652.0,3296.0,0,0,0,0,0
225763.093,1.9562294483184814,2.025674343109131,1.4385086297988892,-0.05035378783941269,0.2770698070526123,-0.0015743266558274627,-0.7099385261535645,2.683872938156128,-80.77557373046875,141.99530029296875,81.15137481689453,3.1403799057006836,-2287.0,413.0,2202.0,0,0,0,0,0
225773.002,1.9556883573532104,2.028869390487671,1.438310146331787,-0.04717613756656647,0.2733153700828552,-0.008839773014187813,0.5125522017478943,2.0579376220703125,-79.95001983642578,164.04745483398438,17.715036392211914,-0.14306578040122986,-7174.0,1414.0,1947.0,0,0,0,0,0
225782.921,1.9552149772644043,2.0323944091796875,1.4381593465805054,-0.047211140394210815,0.26965242624282837,0.02987021394073963,1.8295528888702393,1.9207048416137695,-80.11709594726562,-76.69144439697266,0.685613214969635,-98.74234008789062,-9008.0,201.0,2538.0,0,0,0,0,0
225792.82,1.9547127485275269,2.035876512527466,1.4380035400390625,-0.048586029559373856,0.26306846737861633,-0.01638602837920189,1.0187591314315796,1.7557463645935059,-79.75907135009766,-54.17043685913086,22.07573699951172,-73.01644897460938,-3906.0,-1935.0,2805.0,0,0,0,0,0
225802.738,1.954035758972168,2.0392425060272217,1.4377613067626953,-0.05048723518848419,0.2587455213069916,0.019862961024045944,0.7133970260620117,1.5013093948364258,-80.67829895019531,-108.39644622802734,50.025203704833984,97.135986328125,91.0,-2511.0,2981.0,0,0,0,0,0
225812.638,1.9531564712524414,2.0424575805664062,1.4377930164337158,-0.05237339809536934,0.25366997718811035,0.031442686915397644,-0.36948415637016296,1.002077341079712,-80.65512084960938,4.130356788635254,55.89573669433594,-7.7135748863220215,2531.0,-1413.0,2182.0,0,0,0,0,0
225822.556,1.9524188041687012,2.0453174114227295,1.4380358457565308,-0.05118656903505325,0.24745677411556244,0.03621697425842285,-0.4720304012298584,0.4867461919784546,-81.45050811767578,-126.5515365600586,41.34640121459961,79.31586456298828,2000.0,176.0,1122.0,0,0,0,0,0
225832.466,1.9515130519866943,2.048393487930298,1.4382340908050537,-0.05040653795003891,0.24119138717651367,0.051611561328172684,-1.5175691843032837,-0.018303299322724342,-80.61988067626953,93.14083099365234,79.51417541503906,-74.39779663085938,2692.0,948.0,-86.0,0,0,0,0,0
225842.365,1.9507429599761963,2.0513691902160645,1.4382824897766113,-0.04637850821018219,0.23600713908672333,-0.003975403495132923,-0.1726677268743515,-0.8394100666046143,-80.68425750732422,99.77649688720703,71.97899627685547,-7.410176753997803,-2412.0,3005.0,-133.0,0,0,0,0,0
225852.274,1.9502593278884888,2.054293155670166,1.4378470182418823,-0.043546419590711594,0.22842325270175934,-0.018200648948550224,0.6585441827774048,-1.3977597951889038,-79.87173461914062,107.90059661865234,46.0826416015625,219.13919067382812,-6352.0,3201.0,258.0,0,0,0,0,0
225862.192,1.9498990774154663,2.057056188583374,1.4375866651535034,-0.042677126824855804,0.21735908091068268,0.03159364312887192,1.7046808004379272,-1.7315419912338257,-79.10525512695312,0.13684676587581635,31.633039474487305,3.6541855335235596,-7440.0,1986.0,2001.0,0,0,0,0,0
225872.091,1.9494907855987549,2.0596752166748047,1.4373786449432373,-0.042505308985710144,0.2088242769241333,-0.011214164085686207,1.5738999843597412,-2.017242670059204,-78.57564544677734,-107.05767822265625,17.54880714416504,-219.46664428710938,-4758.0,621.0,4101.0,0,0,0,0,0
225882.016,1.9489985704421997,2.061976671218872,1.4371154308319092,-0.04397988319396973,0.19754453003406525,-0.005639799404889345,0.644929826259613,-2.2505204677581787,-79.63741302490234,-121.22489929199219,24.34693717956543,-44.65176773071289,123.0,-192.0,5468.0,0,0,0,0,0
225891.922,1.9482791423797607,2.0643374919891357,1.4368067979812622,-0.04452701285481453,0.18671271204948425,0.006537557579576969,-0.5105230808258057,-2.533033847808838,-80.41089630126953,-105.45361328125,42.78410339355469,54.480674743652344,3959.0,-6.0,4913.0,0,0,0,0,0
225901.828,1.9474214315414429,2.0665664672851562,1.436629295349121,-0.042771004140377045,0.17587758600711823,0.02570914663374424,-1.1401993036270142,-2.927685022354126,-80.53954315185547,-83.0765380859375,24.777408599853516,-164.7837371826172,4207.0,748.0,3580.0,0,0,0,0,0
225911.727,1.946644902229309,2.0685887336730957,1.4364715814590454,-0.04118572548031807,0.16636832058429718,0.007982958108186722,-1.9127000570297241,-3.25163197517395,-81.03440856933594,42.02690887451172,76.20718383789062,-2.692361354827881,3270.0,997.0,2024.0,0,0,0,0,0
225921.635,1.9461121559143066,2.0703775882720947,1.4362077713012695,-0.03638702258467674,0.1583147794008255,-0.02008049003779888,-0.9475944638252258,-3.937772512435913,-81.26189422607422,110.11477661132812,67.78471374511719,92.02487182617188,-1369.0,2233.0,549.0,0,0,0,0,0
225931.545,1.9456841945648193,2.072202682495117,1.4356656074523926,-0.0319904163479805,0.1465042680501938,-0.006796640809625387,-0.16353340446949005,-4.5352702140808105,-79.97181701660156,77.7332763671875,48.74080276489258,160.85498046875,-5125.0,3864.0,-105.0,0,0,0,0,0
225941.473,1.9454193115234375,2.0739197731018066,1.435238242149353,-0.028455156832933426,0.13396534323692322,0.001079013105481863,0.6610268950462341,-4.945189952850342,-79.25627136230469,40.61136245727539,7.635530471801758,-7.09106969833374,-5982.0,3944.0,1243.0,0,0,0,0,0
